Entity,Years,Outdoor_air_pollution,High_blood_pressure,Alcohol_use,Smoking,Drug_use
Serbia,2019,10721,39546,5066,24350,598
Seychelles,2019,35,178,57,106,7
Sierra Leone,2019,1591,6471,1904,2225,70
Singapore,2019,1378,3475,307,2814,156
Slovakia,2019,3549,15955,3493,8225,366
Slovenia,2019,886,4586,1115,2980,169
Solomon Islands,2019,109,951,59,1026,41
Somalia,2019,851,11498,903,5257,145
South Africa,2019,25381,61473,27060,32836,5486
South Asia (WB),2019,1397555,1966216,386863,1309399,84716
South Korea,2019,23391,37142,26892,51575,2212
South Sudan,2019,1441,4697,575,1919,103
South-East Asia Region (WHO),2019,1459196,2394045,455445,1578752,100177
Spain,2019,11774,72106,19330,66331,1724
Sri Lanka,2019,7538,29938,7296,11071,204
Sub-Saharan Africa (WB),2019,241120,721695,270554,236282,37825
Sudan,2019,17006,50501,494,16147,2167
Suriname,2019,261,829,214,451,14
Sweden,2019,757,19501,4340,13692,734
Switzerland,2019,1621,12571,3938,10216,618
Syria,2019,10701,25568,567,13240,297
Taiwan,2019,12127,25695,11192,26645,2258
Tajikistan,2019,4890,13064,1732,4634,436
Tanzania,2019,6427,38944,19290,17914,2019
Thailand,2019,33772,69032,39223,62859,10674
Timor,2019,220,1623,266,928,35
Togo,2019,1699,5729,1568,2292,146
Tokelau,2019,0,3,0,1,0
Tonga,2019,21,116,9,100,8
Trinidad and Tobago,2019,891,2697,399,1028,30
Tunisia,2019,7553,19680,723,10859,393
Turkey,2019,44457,109162,3941,86170,1309
Turkmenistan,2019,3608,11339,2349,4044,545
Tuvalu,2019,2,25,1,17,1
Uganda,2019,4808,18453,15356,6273,141
Ukraine,2019,43458,237926,44744,113389,9361
United Arab Emirates,2019,3401,5983,553,3726,1008
United Kingdom,2019,15050,87762,25242,119777,5014
United States,2019,60572,495201,136663,527736,104736
United States Virgin Islands,2019,31,306,57,109,4
Uruguay,2019,769,5527,1689,4864,243
Uzbekistan,2019,26991,62465,9562,22193,3042
Vanuatu,2019,55,596,46,247,17
Venezuela,2019,12556,43139,8621,16769,499
Vietnam,2019,38776,158375,52984,97074,9605
Wales,2019,765,5310,1291,6813,349
Western Pacific Region (WHO),2019,1685479,3252290,720471,2968825,117002
World,2019,4506193,10845595,2441973,7693368,494492
World Bank High Income,2019,357874,1895616,555459,1733618,166330
World Bank Low Income,2019,135757,483188,149929,212021,12577
World Bank Lower Middle Income,2019,1971954,3828938,729523,2200138,150491
World Bank Upper Middle Income,2019,2039121,4631739,1005865,3543831,164931
Yemen,2019,11598,30564,861,17306,563
Zambia,2019,3048,10340,6870,4673,394
Zimbabwe,2019,2680,12241,5156,8838,963
